nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_520	  1887.655456791	   107.820406513	     4.193806693
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_260	   303.705190970	    78.162839122	    47.123443811
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_585	  2615.745701522	   108.909714350	     0.708798038
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_195	   268.525398178	    81.895624074	    45.208894294
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_325	   225.497414260	    70.426644506	    37.149462248
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_325	   352.063184733	    75.792517359	   153.769860753
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_260	   160.533506559	    63.202347884	   528.048951279
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_390	  1589.278369029	    96.005971101	   162.194697233
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0	  1712.084505474	   104.058420038	     4.505521841	 0
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_325	   255.214507109	    69.748222436	    20.408378036
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_455	    98.176140170	    49.916841937	   168.747356146
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_390	   391.947443700	    70.871809843	   194.167047543
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_390	   409.385953164	    83.660696538	    24.974248546
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0	  1597.392523069	   103.028072465	     3.036863551
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_520	   858.419119489	   100.762495774	     4.143658695
