nl_mugI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_38	    15.288820643	    13.846590163	     2.277930963
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_325	     9.475371339	     8.940159741	   123.007370174
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_455	     9.269522091	     8.743909395	   213.929512369
nl_cereal_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_49	    10.274304612	     9.640057995	     9.640730271
nl_mugI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_76	    15.190889789	    13.740088698	     2.333730053
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_520	     9.317538899	     8.811958962	     4.545489843
nl_mugI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_114	    15.328929733	    13.907079974	     2.393116196
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_585	     9.305271274	     8.811555444	     1.657550079
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_390	     7.995212057	     7.619266844	   190.593730650
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_455	     8.809508023	     8.341437215	   187.950970187
nl_cereal_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_98	    10.276894199	     9.621595727	   149.280895596
nl_mugI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_152	    15.085472022	    13.640008463	     3.066652867
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_520	     8.671379169	     8.207942489	     4.637165652
nl_mugI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_190	    15.119052413	    13.694169688	     3.767747850
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_585	     7.851449539	     7.431691111	     1.948205197
nl_mugI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_228	    14.227480642	    12.907018921	     2.244636566
nl_mugI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_266	    15.754411946	    14.278910954	     2.334049911
nl_cereal_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_147	    10.094182256	     9.448945314	     8.775989715
