nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_152	   365.859198018	   105.148706004	     2.566975380
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_190	   347.814510420	   100.829513247	     4.264644666
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_306	   169.788623208	    70.353669660	   162.929765198
nl_bookI_s3	 nnk	 mi	 8	 1	 nn5kmn400s78s77s76s75s74_mi24b50r30i4u_8_0_init_53	     7.543302324	     7.137069097	    96.146523914
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_357	   184.053950130	    79.707303546	     5.350147473
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_228	   287.426044172	    82.107773027	     2.377308014
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_408	   198.248583087	    84.802917834	     3.977869242
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_266	   289.390816790	    84.412908687	     2.459732246
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_459	   238.415857916	    97.376107010	     3.536516150
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_304	   352.023657549	   100.944491122	     5.592955740
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_342	   399.016500210	   112.396974798	     1.510402052
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   370.457561506	   104.887619470	     2.254364966	 0
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   196.655546980	    80.296665893	     5.453961522	 3
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   350.557711075	   102.344813023	    91.565257365
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   179.861416427	    73.995027071	     1.863774107
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_32	   301.523515134	    86.956936434	   104.857287141
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_38	   207.187953605	    89.353996887	     2.153588705
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_64	   297.080732919	    83.541771910	   118.685531805
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_76	   206.349188830	    88.571889899	     2.099926437
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_96	   377.182699850	   106.629006337	   138.014989312
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_114	   180.926193472	    73.347597459	     2.226157534
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_128	   370.882094950	   106.510701300	   200.483254191
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_160	   365.523702446	   103.151992346	     5.705167972
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_152	   184.292270143	    74.408464990	     2.441326370
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_192	   410.095668793	   112.213005326	     7.200968996
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_190	   231.066687222	    93.148407136	     4.164961924
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_224	   344.830500191	    96.458034472	    12.835371008
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_228	   240.783914336	    97.367106730	     2.199049878
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_256	   381.450794160	   107.100615223	     2.277915668
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_266	   210.645940051	    82.076624479	     2.337266471
nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_288	   395.404703278	   110.689919973	     1.691041793
nl_bookI_s3	 nnk	 ccre	 8	 1	 nn5kmn400s78s77s76s75s74_ccre24b50r1i4u_8_0_init_106	     5.456564298	     5.235163124	    10.735523676
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_304	   205.640257389	    84.838440131	     5.554382566
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_342	   183.323675095	    75.693685236	     0.909386934
