nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_153	   789.439664826	    85.942922468	     5.756923525
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1	   160.949388650	    60.308764301	     0.497812085	 0
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_204	   748.020023223	    89.104771480	     5.628625138
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_51	   878.600458994	    81.613800847	    62.996812192
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1	   164.171737161	    57.900221776	     0.498180934	 0
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_255	  1054.201431798	    94.420142519	     2.901799999
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_102	   572.632833238	    84.575050905	    70.796524417
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_306	   845.222567143	    89.129551523	     3.818188668
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_153	  1259.758767966	    89.210009284	    11.274750260
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_357	  1259.626002872	    89.905429116	     6.031903628
nl_bookIII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1	   151.373554211	    52.832919546	    16.955337552
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_408	  2852.926797002	   112.377675279	     1.015260479
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_204	   510.028793460	    86.651405043	    12.843692678
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_459	  2686.202774403	   105.774583469	     0.055628471
nl_bookIII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1	   210.045221982	    55.664796981	    16.976477187
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_255	  1614.299789002	    86.406830598	     8.976386161
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1158.200159071	    90.106034254	     2.930783871	 0
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_306	  1123.789524158	    97.255484375	    12.248481806
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1852.734369214	   108.491303377	     1.152908533
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_357	  1462.927485945	    86.637034768	     6.849892877
nl_bookIII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_65	   145.692662786	    53.348149968	    18.874929258
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_38	  1951.995293266	   103.720441089	     1.252103307
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_408	  3098.598151734	    97.674289451	     0.745064399
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_459	  3454.007663264	    95.618874627	     0.037943898
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_76	  1545.707045308	   103.782531503	     1.408519621
nl_bookIII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_65	   146.257354306	    49.738715759	    18.662342326
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_114	  1112.107319731	    93.265306250	     1.598856478
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  1215.693291848	    84.902464977	     7.826029449	 1
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_152	  1557.198495611	   117.778420974	     2.070346258
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_190	  1249.861379430	    98.310016026	     4.010837837
nl_mugI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  2516.949430750	   107.673189310	     1.105383399
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_228	  1418.842882122	    97.426168163	     1.475217019
nl_bookIII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_130	   122.794519232	    48.225751332	    20.634197187
nl_mugI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_38	  2220.612772031	    94.664931427	     1.225485796
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_266	  1812.802849913	   108.097595499	     1.845928199
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_304	  1543.384016541	    83.842094511	     4.869060246
nl_mugI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_76	  2442.914446224	   114.176862328	     1.373034824
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_342	  2365.044196421	    90.061663618	     0.084859482
nl_bookIII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_130	   101.672987001	    44.783836295	    20.729381957
nl_mugI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_114	  2018.511762913	   104.246169197	     1.561017211
nl_mugI_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1756.584949415	    90.716406137	     1.152908533	 0
nl_mugI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_152	  1671.239827910	    97.616457052	     2.040558551
nl_mugI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_190	  2018.581139439	   108.535360405	     4.035863172
nl_mugII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1782.242736460	   103.508807678	     6.078862114
nl_mugI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_228	  1844.064547382	    99.917277871	     1.589637310
nl_mugII_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_32	  1264.907621300	    88.716252879	     6.705511783
nl_mugI_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_266	  2217.529741144	   104.061779819	     1.791142339
nl_bookIII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_195	    50.150358080	    31.259811117	    70.816258307
