nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_189	   759.191086286	   122.442819753	    60.030923249
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_102	   783.262841773	   116.742129092	    42.520953534
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_252	   822.802846245	   125.334122819	    12.882807167
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_315	   724.422594685	   117.229398399	   135.593745063
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_153	   816.531017843	   123.022040945	   101.418367345
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_378	   694.875547712	   118.559895467	     4.175418768
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_204	   902.277580345	   136.218345324	    28.952078869
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_441	   701.563717495	   117.215753553	     7.172865159
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_255	   927.033966973	   118.384741622	    55.504259590
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_504	   781.596843927	   118.849031950	     8.726830147
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_567	   726.775503265	   119.657350237	     1.299615352
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_306	   723.974045658	   117.257682349	   132.086494160
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_357	   818.949526039	   101.974535537	   102.979393935
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   798.804989515	   119.542694130	     2.923138381	 1
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   776.459386178	   121.986722363	    79.822372184
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_408	   778.186514682	   111.947738266	     4.589136941
